year,Earthquake,Drought,Epidemic,Extreme_temperature,Flood,Landslide,Storm
1900,0,2,1,0,1,0,1
1901,2,0,1,0,0,0,0
1902,3,0,0,0,0,0,1
1903,1,1,0,0,2,0,2
1904,1,0,0,0,0,0,1
1905,2,0,0,0,0,0,1
1906,10,1,0,0,2,0,3
1907,5,0,1,0,0,0,0
1908,3,0,0,0,0,0,0
1909,3,0,2,0,1,1,5
1910,3,9,1,0,1,0,1
1911,0,0,0,0,1,0,2
1912,2,0,0,0,0,0,5
1913,4,0,0,0,0,0,1
1914,4,0,0,0,0,0,1
1915,3,0,0,0,1,0,2
1916,1,0,0,0,0,0,1
1917,3,0,1,0,1,0,2
1918,5,0,3,0,0,0,1
1919,0,1,1,0,0,0,2
1920,3,2,3,0,1,0,1
1921,1,1,1,0,0,0,0
1922,2,0,1,0,0,1,2
1923,5,0,3,0,0,1,6
1924,2,0,1,0,0,0,2
1925,2,0,0,0,1,0,3
1926,1,0,1,0,4,2,7
1927,6,0,0,0,2,0,4
1928,7,1,0,0,2,0,7
1929,2,0,0,0,0,0,2
1930,7,0,0,0,1,1,4
1931,4,1,0,0,1,1,4
1932,2,0,1,0,0,1,5
1933,4,1,0,0,2,0,3
1934,4,0,0,0,0,1,4
1935,3,0,1,0,1,0,7
1936,2,0,0,2,1,1,5
1937,0,0,0,0,2,0,3
1938,2,0,0,0,2,1,2
1939,6,0,0,0,2,0,2
1940,4,9,1,0,1,0,3
1941,2,0,0,0,0,1,2
1942,5,1,0,0,0,0,3
1943,5,1,0,0,2,0,3
1944,4,0,0,0,0,0,5
1945,4,0,1,0,0,0,7
1946,8,1,0,0,0,0,5
1947,2,1,1,0,1,0,7
1948,5,0,0,0,5,2,10
1949,6,0,0,0,2,1,8
1950,4,0,1,0,10,1,7
1951,3,0,0,2,7,1,11
1952,8,0,0,0,4,1,9
1953,7,0,1,3,12,0,11
1954,5,0,0,0,9,8,10
1955,4,0,0,1,3,2,19
1956,6,0,0,0,9,5,14
1957,8,0,0,0,11,0,9
1958,4,0,0,2,3,1,13
1959,3,0,0,0,13,1,16
1960,9,1,0,0,7,2,20
1961,2,1,0,1,8,2,14
1962,3,0,0,1,8,2,13
1963,3,1,3,2,8,2,21
1964,7,7,3,0,22,1,22
1965,7,7,6,1,19,5,19
1966,11,9,2,2,23,4,28
1967,10,5,5,0,26,2,25
1968,14,7,4,2,20,4,25
1969,8,10,14,0,14,1,25
1970,11,2,4,0,31,5,24
1971,5,7,2,1,15,5,22
1972,5,7,1,2,15,5,26
1973,4,2,0,3,20,5,22
1974,4,4,2,0,19,10,28
1975,4,1,1,3,17,5,28
1976,20,6,3,0,17,6,36
1977,14,16,22,1,48,3,32
1978,9,9,21,1,47,2,42
1979,25,11,3,4,34,7,31
1980,24,14,8,3,39,4,42
1981,17,13,5,2,43,8,50
1982,18,13,7,3,48,11,52
1983,25,32,7,2,49,15,59
1984,13,8,12,1,47,6,57
1985,22,3,13,8,58,6,51
1986,21,4,11,2,50,9,56
1987,19,15,25,6,68,13,58
1988,18,17,20,6,76,15,60
1989,19,7,15,5,46,15,73
1990,43,12,18,13,60,4,137
1991,29,18,43,8,77,9,66
1992,25,12,28,7,59,7,76
1993,20,9,4,4,84,22,108
1994,25,13,10,9,88,11,81
1995,26,6,25,13,94,16,81
1996,13,6,45,5,92,24,77
1997,23,18,62,13,95,13,79
1998,30,20,73,12,94,22,88
1999,33,23,77,8,122,18,106
2000,31,27,113,31,157,28,102
2001,25,22,69,23,157,24,105
2002,37,25,84,15,172,20,122
2003,40,14,60,25,158,21,86
2004,42,11,36,16,128,15,124
2005,25,20,56,29,193,13,130
2006,24,9,60,24,226,20,76
2007,21,11,36,25,218,10,105
2008,23,16,42,9,165,12,111
2009,22,18,44,24,151,29,87
2010,24,17,41,29,184,32,94
2011,30,17,27,16,156,17,84
2012,29,19,25,51,136,13,90
2013,28,9,23,14,149,11,105
2014,26,18,20,17,135,15,99
2015,21,26,16,10,152,19,115
2016,8,6,0,9,62,9,17
